marca;modelo;year
Mercedes-Benz;CLS 450 Base;2019
Mazda;Mazda3 Touring;2018
Toyota;Tacoma SR5;2020
Subaru;Outback 2.5i Touring;2019
BMW;X4 xDrive28i;2016
Jeep;Renegade Sport;2019
BMW;228 Gran Coupe 228i sDrive Gran Coupe;2021
Mercedes-Benz;S-Class S 560 4MATIC;2020
Jeep;Grand Cherokee Trailhawk;2017
Lexus;IS 250 Base;2014
Chevrolet;Silverado 1500 1LZ;2017
Hyundai;Santa Fe SEL Plus 2.4;2019
Jaguar;F-PACE 25t Premium;2018
BMW;330 Gran Turismo i xDrive;2017
Mercedes-Benz;GLA 250 Base;2017
Honda;Accord EX-L;2012
Mercedes-Benz;GLC 300 4MATIC;2019
Mercedes-Benz;GLA 250 Base 4MATIC;2020
Mercedes-Benz;GL-Class GL 450 4MATIC;2016
Audi;A5 2.0T Premium;2018
Ford;Expedition XLT;2019
Mercedes-Benz;E-Class E 350;2021
Kia;Sportage EX;2020
Chevrolet;Blazer 2LT;2019
Jeep;Grand Cherokee Laredo;2013
BMW;X1 xDrive 28i;2014
Chevrolet;Equinox 1LT;2018
Scion;iQ Base;2013
Chevrolet;Silverado 1500 LTZ;2017
Kia;Telluride LX;2020
Toyota;Tundra Grade;2011
Nissan;Frontier PRO-4X;2022
Chevrolet;Silverado 1500 LTZ;2016
Toyota;Avalon Hybrid Limited;2021
Hyundai;Elantra SEL;2019
Audi;Q7 45 Premium;2019
Toyota;Sienna XLE;2016
Toyota;Sienna XLE Premium;2017
GMC;Acadia Denali;2014
Toyota;4Runner SR5;2007
Toyota;4Runner TRD Off Road Premium;2021
Chevrolet;Equinox 2LT;2018
Acura;RDX Base;2014
Nissan;Versa 1.6 S;2016
Mercedes-Benz;CLA 250;2019
Nissan;Titan SV;2020
Chevrolet;Corvette Stingray Z51;2017
Lexus;RX 350 Base;2016
Acura;MDX Advance;2022
Ford;Transit Connect XL;2019
Dodge;Durango Citadel;2015
Ford;Mustang Mach-E Select;2021
RAM;1500 Lone Star;2021
Dodge;Journey SE/AVP;2012
Hyundai;Santa Fe Calligraphy;2022
Toyota;Highlander Limited;2013
Ford;Escape Limited;2012
Chevrolet;Tahoe LS;2020
Jeep;Cherokee Trailhawk;2015
Kia;Forte LX;2018
Toyota;Sienna LE;2021
Mitsubishi;Outlander Sport 2.0 ES;2016
Porsche;911 Carrera;2017
Dodge;Durango SXT;2017
Toyota;Camry SE;2016
Nissan;Armada Platinum;2012
Toyota;RAV4 Hybrid LE;2021
Lexus;RX 350 F Sport;2016
BMW;X5 M Base;2021
MINI;Countryman Cooper S ALL4;2015
Nissan;Murano Platinum;2018
GMC;Acadia SLE-2;2016
Dodge;Durango Limited;2015
Ford;F-150 XLT;2014
Dodge;Challenger SRT Hellcat;2016
Chevrolet;Silverado 1500 RST;2020
Lincoln;MKZ Reserve II;2019
Toyota;RAV4 Limited;2014
Ford;Transit-250 Base;2019
Kia;Optima EX;2019
Dodge;Durango R/T;2016
Jeep;Wrangler Unlimited Rubicon;2017
Toyota;Corolla S;2010
Toyota;Camry LE;2021
Acura;MDX 3.5L;2016
Mercedes-Benz;CLS-Class CLS 63 AMG;2012
Toyota;Highlander Limited;2005
Audi;R8 5.2;2015
Nissan;Rogue Sport S;2019
Audi;Q5 2.0T Premium Plus;2013
Nissan;Pathfinder SL;2019
Lexus;NX 300 F Sport;2021
INFINITI;QX50 ESSENTIAL;2020
Lexus;NX 300 Base;2018
Jeep;Grand Cherokee Altitude;2017
Lexus;NX 200t Base;2017
Hyundai;Sonata SE;2018
BMW;440 Gran Coupe i xDrive;2018
Honda;Civic Sport;2021
Toyota;Highlander SE;2012
Chevrolet;Corvette Grand Sport;2012
BMW;335 i;2015
Tesla;Model 3 Performance;2022
Porsche;Cayenne;2021
Lexus;GX 460 Luxury;2016
Volkswagen;Jetta GLI 2.0T Autobahn;2021
Chevrolet;Silverado 1500 LT Trail Boss;2020
Lamborghini;Huracan LP610-4;2016
BMW;330 i xDrive;2017
Toyota;Tundra W/ NAVIGATION&PLATINUM;2019
Volkswagen;Jetta 2.0L S w/Technology;2015
Toyota;Highlander XLE;2015
Nissan;Murano S;2020
Jeep;Grand Cherokee High Altitude;2020
Chrysler;Pacifica Limited;2019
Jeep;Wrangler Unlimited Sahara;2016
Buick;Regal Turbo Premium I;2015
Toyota;Tundra SR;2021
Lincoln;Corsair Standard;2020
Mazda;CX-9 Grand Touring;2014
Lexus;ES 300h Base;2013
Subaru;Outback Touring XT;2021
Nissan;Pathfinder SV;2014
Hyundai;Genesis 3.8;2015
Chevrolet;Camaro 2SS;2016
Ford;Explorer XLT;2015
Jeep;Grand Cherokee Limited;2009
Subaru;Impreza Limited;2017
Jeep;Grand Cherokee L Summit;2021
Nissan;Sentra SV;2019
Nissan;Altima 2.5 S;2015
Jeep;Wrangler Sport;2014
INFINITI;Q50 3.0t Sport;2018
Land;Rover Discovery Landmark Edition;2020
Mercedes-Benz;AMG GLE AMG GLE 63 S-Model 4MATIC;2016
Porsche;911 Carrera 4S;2015
BMW;X5 xDrive35i Premium;2013
Honda;Accord Sport 1.5T;2020
Alfa;Romeo Stelvio Base;2019
Mazda;MX-5 Miata Club;2016
Nissan;Rogue SL;2008
Chrysler;200 S;2016
Volkswagen;Tiguan 2.0T SE;2018
Chevrolet;Equinox LS;2017
Mercedes-Benz;GL-Class GL 450 4MATIC;2012
Tesla;Model X 100D;2018
Mazda;CX-5 Touring;2016
Jeep;Wrangler Unlimited Sahara;2017
Land;Rover Range Rover Sport 5.0L Supercharged Dynamic;2019
Volkswagen;Atlas 3.6L SEL;2019
Ford;Escape SEL;2013
Ford;EcoSport Titanium;2020
Chevrolet;Impala Premier;2020
Acura;RDX AcuraWatch Plus Pkg;2016
Land;Rover Defender X;2021
Volkswagen;Tiguan 2.0T SEL;2020
Hyundai;Santa Fe Ultimate 2.4;2019
